1 : loss--15.836857 train_acc--0.668874  val/test_acc--0.722222
2 : loss--5.551780 train_acc--0.854305  val/test_acc--0.833333
3 : loss--3.038248 train_acc--0.880795  val/test_acc--0.888889
4 : loss--2.030633 train_acc--0.814570  val/test_acc--0.777778
5 : loss--2.267512 train_acc--0.867550  val/test_acc--0.944444
6 : loss--0.963248 train_acc--0.867550  val/test_acc--0.944444
7 : loss--0.925601 train_acc--0.781457  val/test_acc--0.833333
8 : loss--0.902990 train_acc--0.867550  val/test_acc--0.888889
9 : loss--0.624394 train_acc--0.874172  val/test_acc--0.833333
10 : loss--0.641198 train_acc--0.847682  val/test_acc--0.833333
11 : loss--0.557671 train_acc--0.880795  val/test_acc--0.833333
12 : loss--0.513361 train_acc--0.894040  val/test_acc--0.888889
13 : loss--0.505331 train_acc--0.927152  val/test_acc--0.888889
14 : loss--0.526612 train_acc--0.913907  val/test_acc--0.888889
15 : loss--0.510454 train_acc--0.880795  val/test_acc--0.888889
16 : loss--0.403801 train_acc--0.887417  val/test_acc--0.944444
17 : loss--0.351033 train_acc--0.913907  val/test_acc--0.944444
18 : loss--0.375872 train_acc--0.847682  val/test_acc--0.888889
19 : loss--0.371481 train_acc--0.894040  val/test_acc--0.888889
20 : loss--0.238763 train_acc--0.867550  val/test_acc--0.777778
21 : loss--0.267925 train_acc--0.927152  val/test_acc--0.833333
22 : loss--0.303780 train_acc--0.913907  val/test_acc--0.833333
23 : loss--0.290967 train_acc--0.907285  val/test_acc--0.833333
24 : loss--0.296795 train_acc--0.880795  val/test_acc--0.944444
25 : loss--0.303779 train_acc--0.841060  val/test_acc--0.888889
26 : loss--0.289936 train_acc--0.953642  val/test_acc--0.833333
27 : loss--0.306734 train_acc--0.920530  val/test_acc--0.833333
28 : loss--0.338073 train_acc--0.933775  val/test_acc--0.888889
29 : loss--0.308642 train_acc--0.933775  val/test_acc--0.888889
30 : loss--0.347910 train_acc--0.933775  val/test_acc--0.888889
31 : loss--0.278557 train_acc--0.953642  val/test_acc--0.888889
32 : loss--0.260126 train_acc--0.940397  val/test_acc--0.888889
33 : loss--0.307254 train_acc--0.887417  val/test_acc--0.833333
34 : loss--0.255508 train_acc--0.947020  val/test_acc--0.888889
35 : loss--0.237640 train_acc--0.860927  val/test_acc--0.944444
36 : loss--0.242423 train_acc--0.913907  val/test_acc--0.833333
37 : loss--0.237031 train_acc--0.900662  val/test_acc--0.888889
38 : loss--0.263342 train_acc--0.947020  val/test_acc--0.888889
39 : loss--0.248958 train_acc--0.900662  val/test_acc--0.944444
40 : loss--0.240731 train_acc--0.933775  val/test_acc--0.888889
41 : loss--0.212626 train_acc--0.947020  val/test_acc--0.833333
42 : loss--0.202919 train_acc--0.953642  val/test_acc--0.888889
43 : loss--0.243816 train_acc--0.933775  val/test_acc--0.888889
44 : loss--0.207465 train_acc--0.947020  val/test_acc--0.888889
45 : loss--0.345804 train_acc--0.933775  val/test_acc--0.888889
46 : loss--0.237858 train_acc--0.940397  val/test_acc--0.888889
