1 : loss--90.884011 train_acc--0.503623  val/test_acc--0.352941
2 : loss--52.884551 train_acc--0.557971  val/test_acc--0.500000
3 : loss--44.388415 train_acc--0.565217  val/test_acc--0.676471
4 : loss--22.191595 train_acc--0.583333  val/test_acc--0.735294
5 : loss--16.570091 train_acc--0.615942  val/test_acc--0.705882
6 : loss--13.086389 train_acc--0.619565  val/test_acc--0.588235
7 : loss--12.388814 train_acc--0.572464  val/test_acc--0.735294
8 : loss--9.389491 train_acc--0.536232  val/test_acc--0.323529
9 : loss--12.329833 train_acc--0.605072  val/test_acc--0.705882
10 : loss--4.757577 train_acc--0.688406  val/test_acc--0.647059
11 : loss--5.411680 train_acc--0.525362  val/test_acc--0.294118
12 : loss--4.499188 train_acc--0.644928  val/test_acc--0.676471
13 : loss--7.494376 train_acc--0.510870  val/test_acc--0.294118
14 : loss--5.804994 train_acc--0.648551  val/test_acc--0.617647
15 : loss--5.517144 train_acc--0.557971  val/test_acc--0.411765
16 : loss--3.234440 train_acc--0.666667  val/test_acc--0.558824
17 : loss--2.111186 train_acc--0.601449  val/test_acc--0.323529
18 : loss--2.307503 train_acc--0.644928  val/test_acc--0.705882
19 : loss--2.788747 train_acc--0.670290  val/test_acc--0.558824
20 : loss--1.269440 train_acc--0.692029  val/test_acc--0.558824
21 : loss--1.221980 train_acc--0.692029  val/test_acc--0.588235
22 : loss--1.015176 train_acc--0.670290  val/test_acc--0.411765
23 : loss--0.966998 train_acc--0.666667  val/test_acc--0.735294
24 : loss--1.138736 train_acc--0.695652  val/test_acc--0.441176
25 : loss--0.999449 train_acc--0.688406  val/test_acc--0.411765
26 : loss--0.916138 train_acc--0.724638  val/test_acc--0.500000
27 : loss--0.864825 train_acc--0.677536  val/test_acc--0.470588
28 : loss--0.892907 train_acc--0.601449  val/test_acc--0.764706
29 : loss--0.893333 train_acc--0.663043  val/test_acc--0.676471
30 : loss--1.037633 train_acc--0.626812  val/test_acc--0.617647
31 : loss--1.098800 train_acc--0.688406  val/test_acc--0.382353
32 : loss--0.906927 train_acc--0.724638  val/test_acc--0.529412
33 : loss--0.892515 train_acc--0.637681  val/test_acc--0.735294
34 : loss--0.884516 train_acc--0.688406  val/test_acc--0.470588
35 : loss--0.806106 train_acc--0.677536  val/test_acc--0.617647
