1 : loss--10.519299 train_acc--0.721854  val/test_acc--0.500000
2 : loss--2.930222 train_acc--0.907285  val/test_acc--0.944444
3 : loss--2.030570 train_acc--0.860927  val/test_acc--0.944444
4 : loss--1.669858 train_acc--0.854305  val/test_acc--0.944444
5 : loss--1.273004 train_acc--0.894040  val/test_acc--0.833333
6 : loss--0.904251 train_acc--0.874172  val/test_acc--0.833333
7 : loss--0.791066 train_acc--0.900662  val/test_acc--0.833333
8 : loss--0.568691 train_acc--0.768212  val/test_acc--0.666667
9 : loss--0.593189 train_acc--0.887417  val/test_acc--0.944444
10 : loss--0.519667 train_acc--0.927152  val/test_acc--0.944444
11 : loss--0.547272 train_acc--0.913907  val/test_acc--0.944444
12 : loss--0.511072 train_acc--0.887417  val/test_acc--0.944444
13 : loss--0.456302 train_acc--0.900662  val/test_acc--0.944444
14 : loss--0.377861 train_acc--0.841060  val/test_acc--0.722222
15 : loss--0.349489 train_acc--0.807947  val/test_acc--0.666667
16 : loss--0.436249 train_acc--0.907285  val/test_acc--0.777778
17 : loss--0.338171 train_acc--0.927152  val/test_acc--1.000000
18 : loss--0.295050 train_acc--0.920530  val/test_acc--0.888889
19 : loss--0.503431 train_acc--0.940397  val/test_acc--0.944444
20 : loss--0.562092 train_acc--0.900662  val/test_acc--0.944444
21 : loss--0.354048 train_acc--0.907285  val/test_acc--1.000000
22 : loss--0.338488 train_acc--0.947020  val/test_acc--0.944444
23 : loss--0.249479 train_acc--0.834437  val/test_acc--0.722222
24 : loss--0.277046 train_acc--0.894040  val/test_acc--0.944444
25 : loss--0.266822 train_acc--0.940397  val/test_acc--0.944444
26 : loss--0.237045 train_acc--0.940397  val/test_acc--1.000000
27 : loss--0.241178 train_acc--0.947020  val/test_acc--0.888889
28 : loss--0.226051 train_acc--0.907285  val/test_acc--0.944444
29 : loss--0.204873 train_acc--0.887417  val/test_acc--0.888889
30 : loss--0.240608 train_acc--0.841060  val/test_acc--0.666667
31 : loss--0.214019 train_acc--0.953642  val/test_acc--0.888889
32 : loss--0.198714 train_acc--0.940397  val/test_acc--0.833333
33 : loss--0.242355 train_acc--0.894040  val/test_acc--0.777778
34 : loss--0.208066 train_acc--0.940397  val/test_acc--0.833333
35 : loss--0.240095 train_acc--0.947020  val/test_acc--1.000000
36 : loss--0.267700 train_acc--0.940397  val/test_acc--0.833333
37 : loss--0.198865 train_acc--0.913907  val/test_acc--0.944444
38 : loss--0.227584 train_acc--0.973510  val/test_acc--0.944444
39 : loss--0.232148 train_acc--0.887417  val/test_acc--0.888889
40 : loss--0.255358 train_acc--0.947020  val/test_acc--0.888889
41 : loss--0.207847 train_acc--0.854305  val/test_acc--0.666667
42 : loss--0.232801 train_acc--0.927152  val/test_acc--0.944444
43 : loss--0.256142 train_acc--0.927152  val/test_acc--0.833333
44 : loss--0.196825 train_acc--0.854305  val/test_acc--0.777778
45 : loss--0.213084 train_acc--0.841060  val/test_acc--0.666667
46 : loss--0.213482 train_acc--0.966887  val/test_acc--0.944444
47 : loss--0.184726 train_acc--0.947020  val/test_acc--0.833333
48 : loss--0.226921 train_acc--0.907285  val/test_acc--0.833333
49 : loss--0.202095 train_acc--0.894040  val/test_acc--0.777778
50 : loss--0.178253 train_acc--0.960265  val/test_acc--0.833333
51 : loss--0.166309 train_acc--0.966887  val/test_acc--0.833333
52 : loss--0.162730 train_acc--0.947020  val/test_acc--0.777778
53 : loss--0.152326 train_acc--0.960265  val/test_acc--0.944444
54 : loss--0.152741 train_acc--0.953642  val/test_acc--0.944444
55 : loss--0.169096 train_acc--0.947020  val/test_acc--0.833333
56 : loss--0.154716 train_acc--0.973510  val/test_acc--0.888889
