1 : loss--134.082613 train_acc--0.603710  val/test_acc--0.613139
2 : loss--61.006385 train_acc--0.642640  val/test_acc--0.635036
3 : loss--25.388615 train_acc--0.631083  val/test_acc--0.615572
4 : loss--22.029127 train_acc--0.562044  val/test_acc--0.579075
5 : loss--21.539437 train_acc--0.621655  val/test_acc--0.600973
6 : loss--14.570187 train_acc--0.637165  val/test_acc--0.610706
7 : loss--6.584748 train_acc--0.685827  val/test_acc--0.681265
8 : loss--7.193560 train_acc--0.649027  val/test_acc--0.647202
9 : loss--6.556650 train_acc--0.704380  val/test_acc--0.693431
10 : loss--7.310424 train_acc--0.631083  val/test_acc--0.600973
11 : loss--4.732844 train_acc--0.626217  val/test_acc--0.586375
12 : loss--5.740323 train_acc--0.711679  val/test_acc--0.664234
13 : loss--5.133029 train_acc--0.696472  val/test_acc--0.656934
14 : loss--3.063875 train_acc--0.644465  val/test_acc--0.642336
15 : loss--3.014718 train_acc--0.706813  val/test_acc--0.681265
16 : loss--1.829184 train_acc--0.691910  val/test_acc--0.669100
17 : loss--3.232004 train_acc--0.576946  val/test_acc--0.566910
18 : loss--1.898295 train_acc--0.713200  val/test_acc--0.712895
19 : loss--3.315803 train_acc--0.725973  val/test_acc--0.686131
20 : loss--2.289498 train_acc--0.663321  val/test_acc--0.676399
21 : loss--1.268440 train_acc--0.680961  val/test_acc--0.690998
22 : loss--2.942942 train_acc--0.700122  val/test_acc--0.671533
23 : loss--1.323997 train_acc--0.723540  val/test_acc--0.703163
24 : loss--1.033321 train_acc--0.635341  val/test_acc--0.630170
25 : loss--1.161978 train_acc--0.731752  val/test_acc--0.710462
26 : loss--1.230339 train_acc--0.600061  val/test_acc--0.608273
27 : loss--1.492492 train_acc--0.728710  val/test_acc--0.720195
28 : loss--1.696027 train_acc--0.729623  val/test_acc--0.688564
29 : loss--1.512813 train_acc--0.681265  val/test_acc--0.673966
30 : loss--1.685736 train_acc--0.727798  val/test_acc--0.712895
31 : loss--0.988214 train_acc--0.662713  val/test_acc--0.654501
32 : loss--1.235285 train_acc--0.737226  val/test_acc--0.698297
33 : loss--1.201889 train_acc--0.727190  val/test_acc--0.686131
34 : loss--1.228399 train_acc--0.720499  val/test_acc--0.666667
35 : loss--1.068225 train_acc--0.717457  val/test_acc--0.669100
36 : loss--0.908807 train_acc--0.688260  val/test_acc--0.639903
37 : loss--0.838909 train_acc--0.737226  val/test_acc--0.708029
38 : loss--0.917393 train_acc--0.724453  val/test_acc--0.695864
39 : loss--1.085639 train_acc--0.711071  val/test_acc--0.656934
40 : loss--1.001300 train_acc--0.680961  val/test_acc--0.671533
41 : loss--0.878481 train_acc--0.722324  val/test_acc--0.690998
42 : loss--0.828197 train_acc--0.724148  val/test_acc--0.683698
43 : loss--0.796990 train_acc--0.711679  val/test_acc--0.681265
44 : loss--0.945703 train_acc--0.725669  val/test_acc--0.698297
45 : loss--0.988522 train_acc--0.687652  val/test_acc--0.681265
46 : loss--0.905237 train_acc--0.741180  val/test_acc--0.698297
47 : loss--0.958302 train_acc--0.730231  val/test_acc--0.708029
48 : loss--0.888155 train_acc--0.739051  val/test_acc--0.700730
49 : loss--0.927924 train_acc--0.742092  val/test_acc--0.705596
50 : loss--0.661003 train_acc--0.735401  val/test_acc--0.688564
51 : loss--0.654818 train_acc--0.726582  val/test_acc--0.698297
52 : loss--0.652670 train_acc--0.712591  val/test_acc--0.678832
53 : loss--0.633895 train_acc--0.721411  val/test_acc--0.683698
54 : loss--0.596922 train_acc--0.707117  val/test_acc--0.673966
55 : loss--0.614457 train_acc--0.738139  val/test_acc--0.695864
56 : loss--0.560184 train_acc--0.734489  val/test_acc--0.690998
57 : loss--0.583053 train_acc--0.748783  val/test_acc--0.693431
58 : loss--0.589120 train_acc--0.748175  val/test_acc--0.695864
59 : loss--0.577678 train_acc--0.720803  val/test_acc--0.693431
60 : loss--0.600533 train_acc--0.748175  val/test_acc--0.688564
61 : loss--0.568528 train_acc--0.713808  val/test_acc--0.666667
62 : loss--0.604450 train_acc--0.704988  val/test_acc--0.669100
63 : loss--0.626139 train_acc--0.691302  val/test_acc--0.661800
64 : loss--0.598756 train_acc--0.735706  val/test_acc--0.695864
65 : loss--0.596644 train_acc--0.739051  val/test_acc--0.688564
66 : loss--0.563630 train_acc--0.752433  val/test_acc--0.705596
67 : loss--0.598185 train_acc--0.740572  val/test_acc--0.698297
68 : loss--0.596908 train_acc--0.707725  val/test_acc--0.683698
69 : loss--0.624685 train_acc--0.749696  val/test_acc--0.710462
70 : loss--0.576117 train_acc--0.737835  val/test_acc--0.683698
71 : loss--0.564708 train_acc--0.753650  val/test_acc--0.700730
72 : loss--0.583486 train_acc--0.751217  val/test_acc--0.705596
73 : loss--0.551724 train_acc--0.742397  val/test_acc--0.693431
74 : loss--0.575774 train_acc--0.740572  val/test_acc--0.708029
75 : loss--0.624763 train_acc--0.737226  val/test_acc--0.708029
76 : loss--0.586165 train_acc--0.761557  val/test_acc--0.720195
77 : loss--0.620526 train_acc--0.738443  val/test_acc--0.698297
78 : loss--0.585438 train_acc--0.740572  val/test_acc--0.690998
79 : loss--0.570893 train_acc--0.713808  val/test_acc--0.673966
80 : loss--0.573667 train_acc--0.743917  val/test_acc--0.710462
81 : loss--0.605936 train_acc--0.740268  val/test_acc--0.715328
82 : loss--0.643541 train_acc--0.719586  val/test_acc--0.652068
83 : loss--0.552136 train_acc--0.752129  val/test_acc--0.671533
84 : loss--0.559186 train_acc--0.736314  val/test_acc--0.700730
85 : loss--0.566073 train_acc--0.733577  val/test_acc--0.710462
86 : loss--0.535643 train_acc--0.748175  val/test_acc--0.727494
87 : loss--0.541650 train_acc--0.748479  val/test_acc--0.690998
88 : loss--0.551475 train_acc--0.745134  val/test_acc--0.703163
89 : loss--0.562920 train_acc--0.761253  val/test_acc--0.746959
90 : loss--0.531257 train_acc--0.760036  val/test_acc--0.732360
91 : loss--0.561664 train_acc--0.754866  val/test_acc--0.695864
92 : loss--0.567834 train_acc--0.746046  val/test_acc--0.708029
93 : loss--0.581454 train_acc--0.732360  val/test_acc--0.683698
94 : loss--0.550110 train_acc--0.756387  val/test_acc--0.734793
95 : loss--0.598086 train_acc--0.746655  val/test_acc--0.693431
96 : loss--0.579599 train_acc--0.750912  val/test_acc--0.720195
97 : loss--0.584484 train_acc--0.736922  val/test_acc--0.683698
98 : loss--0.631230 train_acc--0.730535  val/test_acc--0.710462
99 : loss--0.667040 train_acc--0.756083  val/test_acc--0.717762
100 : loss--0.580710 train_acc--0.763990  val/test_acc--0.717762
101 : loss--0.523122 train_acc--0.759428  val/test_acc--0.744526
102 : loss--0.552604 train_acc--0.763382  val/test_acc--0.717762
103 : loss--0.547105 train_acc--0.758516  val/test_acc--0.744526
104 : loss--0.496841 train_acc--0.761557  val/test_acc--0.725061
105 : loss--0.504808 train_acc--0.770073  val/test_acc--0.739659
106 : loss--0.504265 train_acc--0.755779  val/test_acc--0.712895
107 : loss--0.534231 train_acc--0.768856  val/test_acc--0.717762
108 : loss--0.522916 train_acc--0.761253  val/test_acc--0.756691
109 : loss--0.519316 train_acc--0.770073  val/test_acc--0.737226
110 : loss--0.566604 train_acc--0.755474  val/test_acc--0.700730
111 : loss--0.551332 train_acc--0.775547  val/test_acc--0.717762
112 : loss--0.584407 train_acc--0.718674  val/test_acc--0.683698
113 : loss--0.508872 train_acc--0.776156  val/test_acc--0.734793
114 : loss--0.505154 train_acc--0.781630  val/test_acc--0.734793
115 : loss--0.518702 train_acc--0.764599  val/test_acc--0.737226
116 : loss--0.506874 train_acc--0.774939  val/test_acc--0.727494
117 : loss--0.512195 train_acc--0.777676  val/test_acc--0.749392
118 : loss--0.551870 train_acc--0.782847  val/test_acc--0.737226
119 : loss--0.515570 train_acc--0.775547  val/test_acc--0.744526
120 : loss--0.544783 train_acc--0.772202  val/test_acc--0.705596
121 : loss--0.501919 train_acc--0.783455  val/test_acc--0.734793
122 : loss--0.530113 train_acc--0.783151  val/test_acc--0.734793
123 : loss--0.525702 train_acc--0.767640  val/test_acc--0.717762
124 : loss--0.526346 train_acc--0.790450  val/test_acc--0.737226
125 : loss--0.506996 train_acc--0.784063  val/test_acc--0.729927
126 : loss--0.532182 train_acc--0.762165  val/test_acc--0.712895
127 : loss--0.509880 train_acc--0.781326  val/test_acc--0.734793
128 : loss--0.511981 train_acc--0.782543  val/test_acc--0.725061
129 : loss--0.498622 train_acc--0.785888  val/test_acc--0.729927
130 : loss--0.502019 train_acc--0.748175  val/test_acc--0.688564
131 : loss--0.534074 train_acc--0.786496  val/test_acc--0.725061
132 : loss--0.495458 train_acc--0.787409  val/test_acc--0.703163
133 : loss--0.490367 train_acc--0.804136  val/test_acc--0.759124
134 : loss--0.492183 train_acc--0.781326  val/test_acc--0.732360
135 : loss--0.499371 train_acc--0.788017  val/test_acc--0.722628
136 : loss--0.526031 train_acc--0.776460  val/test_acc--0.700730
137 : loss--0.522016 train_acc--0.783151  val/test_acc--0.720195
138 : loss--0.485994 train_acc--0.787713  val/test_acc--0.746959
139 : loss--0.532989 train_acc--0.784367  val/test_acc--0.712895
