1 : loss--122.286454 train_acc--0.549091  val/test_acc--0.294118
2 : loss--75.129847 train_acc--0.552727  val/test_acc--0.617647
3 : loss--36.687150 train_acc--0.501818  val/test_acc--0.441176
4 : loss--25.497555 train_acc--0.592727  val/test_acc--0.558824
5 : loss--8.717330 train_acc--0.592727  val/test_acc--0.588235
6 : loss--11.037213 train_acc--0.490909  val/test_acc--0.382353
7 : loss--8.569664 train_acc--0.458182  val/test_acc--0.382353
8 : loss--7.930780 train_acc--0.647273  val/test_acc--0.411765
9 : loss--5.385130 train_acc--0.621818  val/test_acc--0.558824
10 : loss--5.224449 train_acc--0.629091  val/test_acc--0.470588
11 : loss--3.735961 train_acc--0.683636  val/test_acc--0.558824
12 : loss--3.253233 train_acc--0.669091  val/test_acc--0.529412
13 : loss--3.136406 train_acc--0.661818  val/test_acc--0.411765
14 : loss--4.444816 train_acc--0.672727  val/test_acc--0.500000
15 : loss--2.416202 train_acc--0.665455  val/test_acc--0.647059
16 : loss--2.355585 train_acc--0.665455  val/test_acc--0.588235
17 : loss--2.981393 train_acc--0.621818  val/test_acc--0.588235
18 : loss--2.890319 train_acc--0.654545  val/test_acc--0.676471
19 : loss--2.060414 train_acc--0.632727  val/test_acc--0.529412
20 : loss--2.309097 train_acc--0.669091  val/test_acc--0.470588
21 : loss--1.836299 train_acc--0.654545  val/test_acc--0.588235
22 : loss--1.589469 train_acc--0.629091  val/test_acc--0.382353
23 : loss--2.128268 train_acc--0.698182  val/test_acc--0.529412
24 : loss--1.446194 train_acc--0.669091  val/test_acc--0.529412
25 : loss--1.276459 train_acc--0.632727  val/test_acc--0.500000
26 : loss--1.682285 train_acc--0.720000  val/test_acc--0.500000
27 : loss--1.692345 train_acc--0.621818  val/test_acc--0.382353
28 : loss--1.278473 train_acc--0.643636  val/test_acc--0.441176
29 : loss--1.268661 train_acc--0.658182  val/test_acc--0.470588
30 : loss--1.276861 train_acc--0.694545  val/test_acc--0.441176
31 : loss--0.749480 train_acc--0.640000  val/test_acc--0.441176
32 : loss--0.722712 train_acc--0.687273  val/test_acc--0.529412
33 : loss--0.708294 train_acc--0.694545  val/test_acc--0.500000
34 : loss--0.631329 train_acc--0.629091  val/test_acc--0.588235
35 : loss--0.640021 train_acc--0.701818  val/test_acc--0.617647
36 : loss--0.656279 train_acc--0.683636  val/test_acc--0.470588
37 : loss--0.624552 train_acc--0.690909  val/test_acc--0.500000
38 : loss--0.618162 train_acc--0.712727  val/test_acc--0.470588
39 : loss--0.637839 train_acc--0.752727  val/test_acc--0.617647
40 : loss--0.631754 train_acc--0.716364  val/test_acc--0.617647
41 : loss--0.618205 train_acc--0.705455  val/test_acc--0.647059
42 : loss--0.604995 train_acc--0.720000  val/test_acc--0.558824
43 : loss--0.657910 train_acc--0.716364  val/test_acc--0.647059
44 : loss--0.603502 train_acc--0.672727  val/test_acc--0.676471
45 : loss--0.619881 train_acc--0.720000  val/test_acc--0.617647
46 : loss--0.657154 train_acc--0.669091  val/test_acc--0.500000
47 : loss--0.594698 train_acc--0.705455  val/test_acc--0.558824
48 : loss--0.619464 train_acc--0.716364  val/test_acc--0.558824
49 : loss--0.643872 train_acc--0.683636  val/test_acc--0.588235
50 : loss--0.568782 train_acc--0.716364  val/test_acc--0.588235
51 : loss--0.565723 train_acc--0.727273  val/test_acc--0.470588
52 : loss--0.547439 train_acc--0.716364  val/test_acc--0.500000
53 : loss--0.548312 train_acc--0.763636  val/test_acc--0.588235
54 : loss--0.530327 train_acc--0.752727  val/test_acc--0.558824
55 : loss--0.561596 train_acc--0.741818  val/test_acc--0.676471
56 : loss--0.577499 train_acc--0.716364  val/test_acc--0.588235
57 : loss--0.533845 train_acc--0.767273  val/test_acc--0.617647
58 : loss--0.576479 train_acc--0.756364  val/test_acc--0.588235
59 : loss--0.522243 train_acc--0.745455  val/test_acc--0.500000
60 : loss--0.544868 train_acc--0.752727  val/test_acc--0.558824
61 : loss--0.519525 train_acc--0.712727  val/test_acc--0.617647
62 : loss--0.547982 train_acc--0.774545  val/test_acc--0.588235
63 : loss--0.532913 train_acc--0.767273  val/test_acc--0.617647
64 : loss--0.498713 train_acc--0.763636  val/test_acc--0.529412
65 : loss--0.505043 train_acc--0.781818  val/test_acc--0.647059
66 : loss--0.502568 train_acc--0.727273  val/test_acc--0.529412
67 : loss--0.505681 train_acc--0.774545  val/test_acc--0.529412
68 : loss--0.487772 train_acc--0.738182  val/test_acc--0.558824
69 : loss--0.483236 train_acc--0.756364  val/test_acc--0.647059
70 : loss--0.476154 train_acc--0.760000  val/test_acc--0.647059
71 : loss--0.495826 train_acc--0.749091  val/test_acc--0.588235
72 : loss--0.489650 train_acc--0.745455  val/test_acc--0.588235
73 : loss--0.518792 train_acc--0.778182  val/test_acc--0.441176
74 : loss--0.494273 train_acc--0.825455  val/test_acc--0.588235
75 : loss--0.475295 train_acc--0.785455  val/test_acc--0.588235
76 : loss--0.462814 train_acc--0.814545  val/test_acc--0.558824
77 : loss--0.485922 train_acc--0.770909  val/test_acc--0.588235
78 : loss--0.503621 train_acc--0.803636  val/test_acc--0.382353
79 : loss--0.436021 train_acc--0.792727  val/test_acc--0.588235
80 : loss--0.518612 train_acc--0.789091  val/test_acc--0.529412
81 : loss--0.486104 train_acc--0.810909  val/test_acc--0.588235
82 : loss--0.482950 train_acc--0.770909  val/test_acc--0.617647
83 : loss--0.436002 train_acc--0.818182  val/test_acc--0.558824
84 : loss--0.475456 train_acc--0.760000  val/test_acc--0.617647
85 : loss--0.444312 train_acc--0.792727  val/test_acc--0.617647
86 : loss--0.442539 train_acc--0.778182  val/test_acc--0.588235
87 : loss--0.477067 train_acc--0.810909  val/test_acc--0.647059
88 : loss--0.410690 train_acc--0.800000  val/test_acc--0.617647
89 : loss--0.450364 train_acc--0.778182  val/test_acc--0.558824
90 : loss--0.427976 train_acc--0.807273  val/test_acc--0.588235
91 : loss--0.402580 train_acc--0.832727  val/test_acc--0.470588
92 : loss--0.432799 train_acc--0.850909  val/test_acc--0.647059
93 : loss--0.423171 train_acc--0.854545  val/test_acc--0.500000
94 : loss--0.369010 train_acc--0.854545  val/test_acc--0.588235
95 : loss--0.403304 train_acc--0.854545  val/test_acc--0.558824
96 : loss--0.406663 train_acc--0.861818  val/test_acc--0.588235
97 : loss--0.373365 train_acc--0.814545  val/test_acc--0.529412
98 : loss--0.431001 train_acc--0.840000  val/test_acc--0.705882
99 : loss--0.400975 train_acc--0.843636  val/test_acc--0.558824
100 : loss--0.356775 train_acc--0.872727  val/test_acc--0.588235
101 : loss--0.326176 train_acc--0.843636  val/test_acc--0.529412
102 : loss--0.307109 train_acc--0.843636  val/test_acc--0.441176
103 : loss--0.317452 train_acc--0.847273  val/test_acc--0.500000
104 : loss--0.297290 train_acc--0.880000  val/test_acc--0.558824
105 : loss--0.311999 train_acc--0.894545  val/test_acc--0.558824
106 : loss--0.312568 train_acc--0.872727  val/test_acc--0.617647
107 : loss--0.285044 train_acc--0.865455  val/test_acc--0.529412
108 : loss--0.283125 train_acc--0.898182  val/test_acc--0.617647
109 : loss--0.281827 train_acc--0.869091  val/test_acc--0.588235
110 : loss--0.293842 train_acc--0.901818  val/test_acc--0.529412
111 : loss--0.278311 train_acc--0.905455  val/test_acc--0.529412
112 : loss--0.275153 train_acc--0.894545  val/test_acc--0.588235
113 : loss--0.261427 train_acc--0.909091  val/test_acc--0.500000
114 : loss--0.311043 train_acc--0.898182  val/test_acc--0.558824
115 : loss--0.229833 train_acc--0.894545  val/test_acc--0.588235
116 : loss--0.289814 train_acc--0.876364  val/test_acc--0.529412
117 : loss--0.256651 train_acc--0.898182  val/test_acc--0.558824
118 : loss--0.253786 train_acc--0.938182  val/test_acc--0.500000
119 : loss--0.246326 train_acc--0.865455  val/test_acc--0.529412
120 : loss--0.268999 train_acc--0.894545  val/test_acc--0.676471
121 : loss--0.232609 train_acc--0.916364  val/test_acc--0.558824
122 : loss--0.253123 train_acc--0.905455  val/test_acc--0.588235
123 : loss--0.236302 train_acc--0.909091  val/test_acc--0.529412
124 : loss--0.243236 train_acc--0.912727  val/test_acc--0.529412
125 : loss--0.300082 train_acc--0.898182  val/test_acc--0.558824
126 : loss--0.330047 train_acc--0.887273  val/test_acc--0.470588
127 : loss--0.230486 train_acc--0.920000  val/test_acc--0.529412
128 : loss--0.238955 train_acc--0.916364  val/test_acc--0.529412
129 : loss--0.223673 train_acc--0.920000  val/test_acc--0.529412
130 : loss--0.190217 train_acc--0.909091  val/test_acc--0.470588
131 : loss--0.260469 train_acc--0.898182  val/test_acc--0.529412
132 : loss--0.226502 train_acc--0.952727  val/test_acc--0.558824
133 : loss--0.201850 train_acc--0.916364  val/test_acc--0.500000
134 : loss--0.207072 train_acc--0.930909  val/test_acc--0.529412
135 : loss--0.186080 train_acc--0.938182  val/test_acc--0.470588
136 : loss--0.201888 train_acc--0.949091  val/test_acc--0.529412
137 : loss--0.165692 train_acc--0.956364  val/test_acc--0.500000
138 : loss--0.155130 train_acc--0.952727  val/test_acc--0.529412
139 : loss--0.214493 train_acc--0.949091  val/test_acc--0.470588
140 : loss--0.178445 train_acc--0.963636  val/test_acc--0.529412
141 : loss--0.184917 train_acc--0.941818  val/test_acc--0.529412
142 : loss--0.247116 train_acc--0.920000  val/test_acc--0.558824
143 : loss--0.183696 train_acc--0.952727  val/test_acc--0.470588
